X1	X2	X3	W4	W5	W6	W7	W8	C	Y
0.99	1.8	0.55	54	0	0	30	0	r	c
0.1	0.13	0.8	239	0	0	0	0	c	n
0.1	1.24	0.08	1	0	0	120	0	r	c
0.1	2.36	0.04	3	0	0	0	0	y	n
0.1	0.13	0.8	149	0	0	90	0	y	p
1.43	1.8	0.8	35	0	0	60	0	r	c
0.1	0.13	0.8	209	0	0	30	0	c	n
0.99	1.24	0.8	143	0	0	0	0	y	n
0.1	1.8	0.06	2	0	0	60	0	r	c
0.1	0.13	0.8	119	0	0	120	0	r	p
0.1	1.24	0.08	31	0	0	90	0	r	c
1.87	2.35	0.8	18	0	0	30	0	r	c
0.1	1.24	0.08	91	0	0	30	0	y	n
1.43	2.35	0.61	37	0	0	0	0	r	c
0.1	1.24	0.08	121	0	0	0	0	y	n
0.99	1.24	0.8	23	0	0	120	0	r	p
0.55	0.69	0.8	191	0	0	0	0	c	n
0.55	0.69	0.8	161	0	0	30	0	c	n
0.55	0.69	0.8	131	0	0	60	0	c	p
0.55	0.69	0.8	101	0	0	90	0	y	p
